127.0.0.1, 2013-06-11 21:00:24, GET, /, HTTP/1.1, 303, 0.000989
127.0.0.1, 2013-06-11 21:00:25, GET, /welcome/default/index, HTTP/1.1, 200, 0.759930
127.0.0.1, 2013-06-11 21:00:25, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000697
127.0.0.1, 2013-06-11 21:00:25, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000682
127.0.0.1, 2013-06-11 21:00:25, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000650
127.0.0.1, 2013-06-11 21:00:25, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000658
127.0.0.1, 2013-06-11 21:00:25, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000647
127.0.0.1, 2013-06-11 21:00:25, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000537
127.0.0.1, 2013-06-11 21:00:25, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000667
127.0.0.1, 2013-06-11 21:00:25, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000613
127.0.0.1, 2013-06-11 21:00:25, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000622
127.0.0.1, 2013-06-11 21:00:25, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000621
127.0.0.1, 2013-06-11 21:00:25, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000554
127.0.0.1, 2013-06-11 21:00:25, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000555
127.0.0.1, 2013-06-11 21:00:26, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000596
127.0.0.1, 2013-06-11 21:00:26, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000548
127.0.0.1, 2013-06-11 21:00:26, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000519
